name,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,CSK,Right hand Bat,Right arm Offbreak,Batter
FafduPlessis,CSK,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,CSK,Right hand Bat,Right arm Medium,Batter
MoeenAli,CSK,Left hand Bat,Right arm Offbreak,Batting Allrounder
ShubmanGill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,Allrounder
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
EoinMorgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
RahulTripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,CSK,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,CSK,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,CSK,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,CSK,Right hand Bat,Right arm Medium,Allrounder
RavindraJadeja,CSK,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrithviShaw,DC,Right hand Bat,Right arm Offbreak,Opening Batter
ShikharDhawan,DC,Left hand Bat,Right arm Offbreak,Opening Batter
MarcusStoinis,DC,Right hand Bat,Right arm Medium,Batting Allrounder
ShreyasIyer,DC,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
RishabhPant,DC,Left hand Bat,Not Available,Wicketkeeper Batter
ShimronHetmyer,DC,Left hand Bat,Not Available,Top order Batter
AxarPatel,DC,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AnrichNortje,DC,Right hand Bat,Right arm Fast,Bowler
RavichandranAshwin,DC,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AveshKhan,DC,Right hand Bat,Right arm Fast medium,Bowler
KagisoRabada,DC,Left hand Bat,Right arm Fast,Bowler
DevduttPadikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
SrikarBharat,RCB,Right hand Bat,Not Available,Wicketkeeper Batter
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
ABdeVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter
ShahbazAhmed,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder
DanChristian,RCB,Right hand Bat,Right arm Fast medium,Allrounder
HarshalPatel,RCB,Right hand Bat,Right arm Medium,Bowler
GeorgeGarton,RCB,Left hand Bat,Left arm Fast,Bowling Allrounder
MohammedSiraj,RCB,Right hand Bat,Right arm Fast,Bowler
YuzvendraChahal,RCB,Right hand Bat,Legbreak Googly,Bowler
TomCurran,DC,Right hand Bat,Right arm Fast medium,Bowling Allrounder
AmbatiRayudu,CSK,Right hand Bat,Right arm Offbreak,Middle order Batter
MSDhoni,CSK,Right hand Bat,Right arm Medium,Wicketkeeper Batter
RipalPatel,DC,Right hand Bat,Right arm Medium fast,Middle order Batter
RohitSharma,MI,Right hand Bat,Right arm Offbreak,Top order Batter
IshanKishan,MI,Left hand Bat,Not Available,Wicketkeeper Batter
HardikPandya,MI,Right hand Bat,Right arm Medium fast,Allrounder
KieronPollard,MI,Right hand Bat,Right arm Medium,Batting Allrounder
SuryakumarYadav,MI,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
JamesNeesham,MI,Left hand Bat,Right arm Medium fast,Batting Allrounder
KrunalPandya,MI,Left hand Bat,Slow Left arm Orthodox,Allrounder
NathanCoulter-Nile,MI,Right hand Bat,Right arm Fast,Bowling Allrounder
PiyushChawla,MI,Left hand Bat,Legbreak,Bowling Allrounder
JaspritBumrah,MI,Right hand Bat,Right arm Fast,Bowler
TrentBoult,MI,Right hand Bat,Left arm Fast medium,Bowler
JasonRoy,SRH,Right hand Bat,Not Available,Opening Batter
AbhishekSharma,SRH,Left hand Bat,Slow Left arm Orthodox,Allrounder
ManishPandey,SRH,Right hand Bat,Right arm Medium,Top order Batter
MohammadNabi,SRH,Right hand Bat,Right arm Offbreak,Allrounder
AbdulSamad,SRH,Right hand Bat,Legbreak,Batter
PriyamGarg,SRH,Right hand Bat,Right arm Medium,Top order Batter
JasonHolder,SRH,Right hand Bat,Right arm Medium fast,Bowling Allrounder
RashidKhan,SRH,Right hand Bat,Legbreak Googly,Bowling Allrounder
WriddhimanSaha,SRH,Right hand Bat,Not Available,Wicketkeeper Batter
SiddarthKaul,SRH,Right hand Bat,Right arm Medium,Bowler
UmranMalik,SRH,Right hand Bat,Right arm Fast,Bowler
YashasviJaiswal,RR,Left hand Bat,Legbreak,Opening Batter
LiamLivingstone,RR,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
SanjuSamson,RR,Right hand Bat,Not Available,Wicketkeeper Batter
ShivamDube,RR,Left hand Bat,Right arm Medium,Allrounder
AnujRawat,RR,Left hand Bat,Not Available,Wicketkeeper Batter
GlennPhillips,RR,Right hand Bat,Right arm Offbreak,Allrounder
RahulTewatia,RR,Left hand Bat,Legbreak,Bowling Allrounder
ChrisMorris,RR,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JaydevUnadkat,RR,Right hand Bat,Left arm Medium,Bowler
ChetanSakariya,RR,Left hand Bat,Left arm Medium fast,Bowler
MustafizurRahman,RR,Left hand Bat,Left arm Fast medium,Bowler
KLRahul,PBKS,Right hand Bat,Not Available,Wicketkeeper Batter
MayankAgarwal,PBKS,Right hand Bat,Right arm Offbreak,Batter
SarfarazKhan,PBKS,Right hand Bat,Legbreak,Middle order Batter
MShahrukhKhan,PBKS,Right hand Bat,Right arm Offbreak,Batter
AidenMarkram,PBKS,Right hand Bat,Right arm Offbreak,Opening Batter
MoisesHenriques,PBKS,Right hand Bat,Right arm Fast medium,Allrounder
MohammedShami,PBKS,Right hand Bat,Right arm Fast,Bowler
HarpreetBrar,PBKS,Left hand Bat,Slow Left arm Orthodox,Bowler
ArshdeepSingh,PBKS,Left hand Bat,Left arm Medium fast,Bowler
ChrisJordan,PBKS,Right hand Bat,Right arm Fast medium,Bowler
RaviBishnoi,PBKS,Right hand Bat,Legbreak Googly,Bowler
KaneWilliamson,SRH,Right hand Bat,Right arm Offbreak,Top order Batter
BhuvneshwarKumar,SRH,Right hand Bat,Right arm Medium,Bowler
EvinLewis,RR,Left hand Bat,Not Available,Opening Batter
DavidMiller,RR,Left hand Bat,Right arm Offbreak,Middle order Batter
ShreyasGopal,RR,Right hand Bat,Legbreak,Allrounder
KuldipYadav,RR,Left hand Bat,Left arm Fast medium,Bowler
JayantYadav,MI,Right hand Bat,Right arm Offbreak,Bowler
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler
NicholasPooran,PBKS,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
SureshRaina,CSK,Left hand Bat,Right arm Offbreak,Middle order Batter
AkashSingh,RR,Right hand Bat,Left arm Medium fast,Bowler
MayankMarkande,RR,Right hand Bat,Legbreak,Bowler
SamCurran,CSK,Left hand Bat,Left arm Medium fast,Allrounder
KMAsif,CSK,Right hand Bat,Right arm Medium,Bowler
QuintondeKock,MI,Left hand Bat,Not Available,Wicketkeeper Batter
SaurabhTiwary,MI,Left hand Bat,Not Available,Top order Batter
StevenSmith,DC,Right hand Bat,Legbreak Googly,Top order Batter
TimSeifert,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
DeepakHooda,PBKS,Right hand Bat,Right arm Offbreak,Allrounder
FabianAllen,PBKS,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
NathanEllis,PBKS,Right hand Bat,Right arm Fast medium,Bowler
SandeepSharma,SRH,Right hand Bat,Right arm Medium,Bowler
MahipalLomror,RR,Left hand Bat,Slow Left arm Orthodox,Allrounder
RiyanParag,RR,Right hand Bat,Legbreak,Top order Batter
KartikTyagi,RR,Right hand Bat,Right arm Fast,Bowler
MandeepSingh,PBKS,Right hand Bat,Right arm Medium,Allrounder
ChrisGayle,PBKS,Left hand Bat,Right arm Offbreak,Allrounder
RahulChahar,MI,Right hand Bat,Legbreak Googly,Bowler
LalitYadav,DC,Right hand Bat,Right arm Offbreak,Allrounder
SandeepWarrier,KKR,Right hand Bat,Right arm Medium,Bowler
KyleJamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler
AdamMilne,MI,Right hand Bat,Right arm Fast,Bowler
AndreRussell,KKR,Right hand Bat,Right arm Fast,Allrounder
PrasidhKrishna,KKR,Right hand Bat,Right arm Fast medium,Bowler
DavidWarner,SRH,Left hand Bat,Legbreak,Opening Batter
KedarJadhav,SRH,Right hand Bat,Right arm Offbreak,Batting Allrounder
KhaleelAhmed,SRH,Right hand Bat,Left arm Fast medium,Bowler
TabraizShamsi,RR,Right hand Bat,Left arm Wrist spin,Bowler
TimDavid,RCB,Right hand Bat,Right arm Offbreak,Middle order Batter
WaninduHasaranga,RCB,Right hand Bat,Legbreak,Allrounder
NavdeepSaini,RCB,Right hand Bat,Right arm Fast,Bowler
IshanPorel,PBKS,Right hand Bat,Right arm Medium,Bowler
AdilRashid,PBKS,Right hand Bat,Legbreak,Bowler
SachinBaby,RCB,Left hand Bat,Right arm Offbreak,Batter
AnmolpreetSingh,MI,Right hand Bat,Right arm Offbreak,Batter
PrabhsimranSingh,PBKS,Right hand Bat,Not Available,Wicketkeeper Batter
DawidMalan,PBKS,Left hand Bat,Legbreak,Top order Batter
IshantSharma,DC,Right hand Bat,Right arm Fast medium,Bowler
RileyMeredith,PBKS,Right hand Bat,Right arm Fast,Bowler
JosButtler,RR,Right hand Bat,Not Available,Wicketkeeper Batter
JonnyBairstow,SRH,Right hand Bat,Right arm Medium,Wicketkeeper Batter
VijayShankar,SRH,Right hand Bat,Right arm Medium,Allrounder
DhawalKulkarni,MI,Right hand Bat,Right arm Medium,Bowler
LungiNgidi,CSK,Right hand Bat,Right arm Fast medium,Bowler
RajatPatidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter
DanielSams,RCB,Right hand Bat,Left arm Fast medium,Allrounder
PatCummins,KKR,Right hand Bat,Right arm Fast,Bowler
JagadeeshaSuchith,SRH,Left hand Bat,Slow Left arm Orthodox,Bowler
WashingtonSundar,RCB,Left hand Bat,Right arm Offbreak,Bowling Allrounder
AmitMishra,DC,Right hand Bat,Legbreak,Bowler
ImranTahir,CSK,Right hand Bat,Legbreak Googly,Bowler
MananVohra,RR,Right hand Bat,Right arm Medium,Opening Batter
KaneRichardson,RCB,Right hand Bat,Right arm Fast medium,Bowler
KamleshNagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler
MuruganAshwin,PBKS,Right hand Bat,Legbreak Googly,Bowler
ChrisWoakes,DC,Right hand Bat,Right arm Fast medium,Allrounder
LukmanMeriwala,DC,Left hand Bat,Left arm Fast medium,Bowler
JalajSaxena,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder
JhyeRichardson,PBKS,Right hand Bat,Right arm Fast,Bowler
HarbhajanSingh,KKR,Right hand Bat,Right arm Offbreak,Bowler
ViratSingh,SRH,Left hand Bat,Legbreak Googly,Top order Batter
MujeebUrRahman,SRH,Right hand Bat,Right arm Offbreak,Bowler
AjinkyaRahane,DC,Right hand Bat,Right arm Medium,Top order Batter
ShahbazNadeem,SRH,Right hand Bat,Slow Left arm Orthodox,Bowler
TNatarajan,SRH,Left hand Bat,Left arm Medium,Bowler
MarcoJansen,MI,Right hand Bat,Left arm Medium fast,Bowling Allrounder
BenStokes,RR,Left hand Bat,Right arm Fast medium,Allrounder
ChrisLynn,MI,Right hand Bat,Slow Left arm Orthodox,Batter
ObedMcCoy,RR,Left hand Bat,Left arm Fast medium,Bowler
MatthewWade,GT,Left hand Bat,Right arm Medium,Wicketkeeper Batter
YashDayal,GT,Right hand Bat,Left arm Medium fast,Bowler
SaiKishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler
DushmanthaChameera,LSG,Right hand Bat,Right arm Fast,Bowler
MohsinKhan,LSG,Left hand Bat,Left arm Medium fast,Bowler
AlzarriJoseph,GT,Right hand Bat,Right arm Fast,Bowler
RomarioShepherd,SRH,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JiteshSharma,PBKS,Right hand Bat,Not Available,Wicketkeeper Batter
PrerakMankad,PBKS,Right hand Bat,Right arm Medium,Allrounder
FazalhaqFarooqi,SRH,Right hand Bat,Left arm Fast medium,Bowler
MitchellMarsh,DC,Right hand Bat,Right arm Medium,Allrounder
RovmanPowell,DC,Right hand Bat,Right arm Medium fast,Middle order Batter
KuldeepYadav,DC,Left hand Bat,Left arm Wrist spin,Bowler
DewaldBrevis,MI,Right hand Bat,Legbreak,Batting Allrounder
TilakVarma,MI,Left hand Bat,Right arm Offbreak,Batting Allrounder
RamandeepSingh,MI,Right hand Bat,Right arm Medium,Middle order Batter
HrithikShokeen,MI,Right hand Bat,Right arm Offbreak,Bowler
DevonConway,CSK,Left hand Bat,Right arm Medium,Wicketkeeper Batter
NarayanJagadeesan,CSK,Right hand Bat,Not Available,Opening Batter
MitchellSantner,CSK,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
SimarjeetSingh,CSK,Right hand Bat,Right arm Medium fast,Bowler
MukeshChoudhary,CSK,Left hand Bat,Left arm Medium,Bowler
MatheeshaPathirana,CSK,Right hand Bat,Right arm Fast,Bowler
PrashantSolanki,CSK,Right hand Bat,Legbreak,Bowler
AbhijeetTomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
SamBillings,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
RinkuSingh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler
KrishnappaGowtham,LSG,Right hand Bat,Right arm Offbreak,Bowling Allrounder
TristanStubbs,MI,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
SanjayYadav,MI,Left hand Bat,Slow Left arm Orthodox,Allrounder
BhanukaRajapaksa,PBKS,Left hand Bat,Right arm Medium,Top order Batter
RishiDhawan,PBKS,Right hand Bat,Right arm Medium fast,Allrounder
AyushBadoni,LSG,Right hand Bat,Right arm Offbreak,Batter
ShashankSingh,SRH,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder
MaheeshTheekshana,CSK,Right hand Bat,Right arm Offbreak,Bowler
KumarKartikeya,MI,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
RassievanderDussen,RR,Right hand Bat,Legbreak,Top order Batter
KuldeepSen,RR,Right hand Bat,Right arm Fast,Bowler
KaranSharma,LSG,Right hand Bat,Right arm Offbreak,Allrounder
SheldonJackson,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
BabaIndrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter
AaronFinch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
HarshitRana,KKR,Right hand Bat,Right arm Fast,Bowler
SaiSudharsan,GT,Left hand Bat,Legbreak,Top order Batter
PradeepSangwan,GT,Right hand Bat,Left arm Medium,Bowler
SeanAbbott,SRH,Right hand Bat,Right arm Fast medium,Bowling Allrounder
DwainePretorius,CSK,Right hand Bat,Right arm Medium fast,Bowling Allrounder
KarunNair,RR,Right hand Bat,Right arm Offbreak,Top order Batter
DarylMitchell,RR,Right hand Bat,Right arm Medium,Batting Allrounder
AbhinavManohar,GT,Right hand Bat,Legbreak Googly,Batting Allrounder
SuyashPrabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder
VaibhavArora,PBKS,Right hand Bat,Right arm Fast medium,Bowler
OdeanSmith,PBKS,Right hand Bat,Right arm Fast medium,Bowling Allrounder
TymalMills,MI,Right hand Bat,Left arm Fast,Bowler
AmanHakimKhan,KKR,Right hand Bat,Right arm Medium,Allrounder
BasilThampi,MI,Right hand Bat,Right arm Fast medium,Bowler
AkashDeep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder
DarshanNalkande,GT,Right hand Bat,Right arm Fast medium,Bowler
RasikhSalam,KKR,Right hand Bat,Right arm Medium,Bowler
DavidWilley,RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder
AndrewTye,LSG,Right hand Bat,Right arm Medium fast,Bowler
SherfaneRutherford,RCB,Left hand Bat,Right arm Fast medium,Middle order Batter
VarunAaron,GT,Right hand Bat,Right arm Fast,Bowler
RajBawa,PBKS,Left hand Bat,Right arm Medium fast,Allrounder
TusharDeshpande,CSK,Left hand Bat,Right arm Medium,Bowler
NoorAhmad,GT,Right hand Bat,Left arm Wrist spin,Bowler
JoshLittle,GT,Right hand Bat,Left arm Fast medium,Bowler
MohitSharma,GT,Right hand Bat,Right arm Medium,Bowler
NehalWadhera,MI,Left hand Bat,Legbreak,Top order Batter
CameronGreen,MI,Right hand Bat,Right arm Fast medium,Batting Allrounder
VishnuVinod,MI,Right hand Bat,Not Available,Wicketkeeper Batter
JasonBehrendorff,MI,Right hand Bat,Left arm Fast medium,Bowler
AkashMadhwal,MI,Right hand Bat,Right arm Medium fast,Bowler
KyleMayers,LSG,Left hand Bat,Right arm Medium,Batting Allrounder
Naveen-ul-Haq,LSG,Right hand Bat,Right arm Medium fast,Bowler
YashThakur,LSG,Right hand Bat,Right arm Fast medium,Bowler
DasunShanaka,GT,Right hand Bat,Right arm Medium,Allrounder
MichaelBracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder
WayneParnell,RCB,Left hand Bat,Left arm Medium fast,Bowler
VijaykumarVyshak,RCB,Right hand Bat,Right arm Medium,Bowler
HimanshuSharma,RCB,Right hand Bat,Legbreak,Bowler
VivrantSharma,SRH,Left hand Bat,Legbreak Googly,Allrounder
HeinrichKlaasen,SRH,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
HarryBrook,SRH,Right hand Bat,Right arm Medium,Batter
SanvirSingh,SRH,Right hand Bat,Right arm Medium,Allrounder
NitishKumarReddy,SRH,Right hand Bat,Right arm Medium fast,Batting Allrounder
MayankDagar,SRH,Right hand Bat,Slow Left arm Orthodox,Bowler
RahmanullahGurbaz,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
SuyashSharma,KKR,Right hand Bat,Legbreak Googly,Bowler
PhilSalt,DC,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
RileeRossouw,DC,Left hand Bat,Right arm Offbreak,Top order Batter
YashDhull,DC,Right hand Bat,Right arm Offbreak,Top order Batter
AtharvaTaide,PBKS,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
DhruvJurel,RR,Right hand Bat,Not Available,Wicketkeeper Batter
AdamZampa,RR,Right hand Bat,Legbreak Googly,Bowler
KarnSharma,RCB,Left hand Bat,Legbreak Googly,Bowler
MukeshKumar,DC,Right hand Bat,Right arm Medium,Bowler
SwapnilSingh,LSG,Right hand Bat,Slow Left arm Orthodox,Bowler
JoeRoot,RR,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
SikandarRaza,PBKS,Right hand Bat,Right arm Offbreak,Batting Allrounder
PraveenDubey,DC,Right hand Bat,Legbreak Googly,Bowler
YudhvirSingh,LSG,Right hand Bat,Right arm Medium fast,Bowler
ArshadKhan,MI,Left hand Bat,Left arm Medium,Bowler
JofraArcher,MI,Right hand Bat,Right arm Fast,Bowler
RaghavGoyal,MI,Left hand Bat,Left arm Wrist spin,Bowler
MatthewShort,PBKS,Right hand Bat,Right arm Offbreak,Top order Batter
AkealHosein,SRH,Left hand Bat,Slow Left arm Orthodox,Bowler
DavidWiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder
GurnoorBrar,PBKS,Left hand Bat,Right arm Fast,Bowler
ArjunTendulkar,MI,Left hand Bat,Left arm Medium fast,Bowler
KulwantKhejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler
AbdulBasith,RR,Right hand Bat,Right arm Offbreak,Allrounder
HarpreetSingh,PBKS,Left hand Bat,Right arm Medium,Batter
LittonDas,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
DuanJansen,MI,Right hand Bat,Left arm Fast,Bowler
MarkWood,LSG,Right hand Bat,Right arm Fast,Bowler
AbishekPorel,DC,Left hand Bat,Not Available,Wicketkeeper Batter
SisandaMagala,CSK,Right hand Bat,Right arm Fast medium,Bowler
MohitRathee,PBKS,Right hand Bat,Legbreak,Allrounder
RajvardhanHangargekar,CSK,Right hand Bat,Right arm Fast medium,Bowling Allrounder
ReeceTopley,RCB,Right hand Bat,Left arm Fast medium,Bowler
